basin,melt_season,granule,region,xatc_total,nphot_total
B-C,2018-19,ATL03_20190301155524_09650210_006_02.h5,ANT_1000_East_B-C.geojson,3776135.769,10725192
B-C,2018-19,ATL03_20190302044307_09730212_006_02.h5,ANT_1000_East_B-C.geojson,2854883.12,27261951
B-C,2018-19,ATL03_20190303041728_09880212_006_02.h5,ANT_1000_East_B-C.geojson,679292.265,11842126
B-C,2018-19,ATL03_20190305154704_10260210_006_02.h5,ANT_1000_East_B-C.geojson,3769231.78,4614030
B-C,2018-19,ATL03_20190306043447_10340212_006_02.h5,ANT_1000_East_B-C.geojson,2220571.217,19286183
B-C,2018-19,ATL03_20190306152125_10410210_006_02.h5,ANT_1000_East_B-C.geojson,251512.084,3661
B-C,2018-19,ATL03_20190307040908_10490212_006_02.h5,ANT_1000_East_B-C.geojson,1268917.775,19584703
B-C,2018-19,ATL03_20190309153844_10870210_006_02.h5,ANT_1000_East_B-C.geojson,3463873.122,18341494
B-C,2018-19,ATL03_20190310042627_10950212_006_02.h5,ANT_1000_East_B-C.geojson,2647799.643,23806212
B-C,2018-19,ATL03_20190310151304_11020210_006_02.h5,ANT_1000_East_B-C.geojson,1691345.617,10954312
B-C,2018-19,ATL03_20190311040047_11100212_006_02.h5,ANT_1000_East_B-C.geojson,1785367.394,19076631
B-C,2018-19,ATL03_20190313153023_11480210_006_02.h5,ANT_1000_East_B-C.geojson,2645348.814,8404898
B-C,2018-19,ATL03_20190314041806_11560212_006_02.h5,ANT_1000_East_B-C.geojson,1814647.624,11586635
B-C,2018-19,ATL03_20190314150444_11630210_006_02.h5,ANT_1000_East_B-C.geojson,2626059.816,10196081
B-C,2018-19,ATL03_20190315035227_11710212_006_02.h5,ANT_1000_East_B-C.geojson,2174214.006,16166742
B-C,2018-19,ATL03_20190318040947_12170212_006_02.h5,ANT_1000_East_B-C.geojson,1203708.394,5321796
B-C,2018-19,ATL03_20190318145624_12240210_006_02.h5,ANT_1000_East_B-C.geojson,3055161.699,11861615
B-C,2018-19,ATL03_20190319034407_12320212_006_02.h5,ANT_1000_East_B-C.geojson,2381738.96,22347496
B-C,2018-19,ATL03_20190322040126_12780212_006_02.h5,ANT_1000_East_B-C.geojson,959005.67,7658012
B-C,2018-19,ATL03_20190322144803_12850210_006_02.h5,ANT_1000_East_B-C.geojson,3011208.063,23651039
B-C,2018-19,ATL03_20190323033547_12930212_006_02.h5,ANT_1000_East_B-C.geojson,2849106.398,13183276
B-C,2018-19,ATL03_20190326035305_13390212_006_02.h5,ANT_1000_East_B-C.geojson,539596.06,1709135
B-C,2018-19,ATL03_20190326143942_13460210_006_02.h5,ANT_1000_East_B-C.geojson,3400401.988,13131782
B-C,2018-19,ATL03_20190327032725_13540212_006_02.h5,ANT_1000_East_B-C.geojson,3055953.636,20691389
B-C,2018-19,ATL03_20190330143122_00200310_006_02.h5,ANT_1000_East_B-C.geojson,3764760.166,27859543
B-C,2018-19,ATL03_20190331031906_00280312_006_02.h5,ANT_1000_East_B-C.geojson,3049640.225,26304545
CW,2019,ATL03_20190503084011_05360303_006_02.h5,GRE_2000_CW.geojson,809235.357,6555275
CW,2019,ATL03_20190503212504_05440305_006_02.h5,GRE_2000_CW.geojson,1221696.755,11737470
CW,2019,ATL03_20190507083151_05970303_006_02.h5,GRE_2000_CW.geojson,1452453.375,11571592
CW,2019,ATL03_20190507211645_06050305_006_02.h5,GRE_2000_CW.geojson,1617535.402,14437181
CW,2019,ATL03_20190511082331_06580303_006_02.h5,GRE_2000_CW.geojson,2009985.349,4978224
CW,2019,ATL03_20190511210825_06660305_006_02.h5,GRE_2000_CW.geojson,1896086.246,21674523
CW,2019,ATL03_20190515081511_07190303_006_02.h5,GRE_2000_CW.geojson,2560885.743,19060356
CW,2019,ATL03_20190515210004_07270305_006_02.h5,GRE_2000_CW.geojson,2176588.849,43017694
CW,2019,ATL03_20190519080649_07800303_006_02.h5,GRE_2000_CW.geojson,2601193.933,29263138
CW,2019,ATL03_20190519205142_07880305_006_02.h5,GRE_2000_CW.geojson,2494580.982,38156468
CW,2019,ATL03_20190523075828_08410303_006_02.h5,GRE_2000_CW.geojson,2505431.441,40242782
CW,2019,ATL03_20190523204321_08490305_006_02.h5,GRE_2000_CW.geojson,881721.988,26540476
CW,2019,ATL03_20190527075008_09020303_006_02.h5,GRE_2000_CW.geojson,108674.777,1488410
CW,2019,ATL03_20190527203501_09100305_006_02.h5,GRE_2000_CW.geojson,563855.558,23458922
CW,2019,ATL03_20190528200922_09250305_006_02.h5,GRE_2000_CW.geojson,792295.217,8708647
CW,2019,ATL03_20190601071608_09780303_006_02.h5,GRE_2000_CW.geojson,284718.941,779645
CW,2019,ATL03_20190601200102_09860305_006_02.h5,GRE_2000_CW.geojson,1136107.559,13248972
CW,2019,ATL03_20190605070748_10390303_006_02.h5,GRE_2000_CW.geojson,1154555.895,10493019
CW,2019,ATL03_20190605195242_10470305_006_02.h5,GRE_2000_CW.geojson,1491012.094,18334090
CW,2019,ATL03_20190609065929_11000303_006_02.h5,GRE_2000_CW.geojson,1879461.118,7010056
CW,2019,ATL03_20190609194422_11080305_006_02.h5,GRE_2000_CW.geojson,1799468.08,16235897
CW,2019,ATL03_20190613065109_11610303_006_02.h5,GRE_2000_CW.geojson,2522378.973,19177677
CW,2019,ATL03_20190613193602_11690305_006_02.h5,GRE_2000_CW.geojson,2053472.075,44277300
CW,2019,ATL03_20190617064249_12220303_006_02.h5,GRE_2000_CW.geojson,2590895.131,19416543
CW,2019,ATL03_20190617192743_12300305_006_02.h5,GRE_2000_CW.geojson,2442556.882,58198970
CW,2019,ATL03_20190621063429_12830303_006_02.h5,GRE_2000_CW.geojson,2547525.245,26988590
CW,2019,ATL03_20190621191922_12910305_006_02.h5,GRE_2000_CW.geojson,1054217.761,34359636
CW,2019,ATL03_20190625062608_13440303_006_02.h5,GRE_2000_CW.geojson,2315580.921,4752339
CW,2019,ATL03_20190625191102_13520305_006_02.h5,GRE_2000_CW.geojson,655075.658,35583864
CW,2019,ATL03_20190712052659_02160403_006_02.h5,GRE_2000_CW.geojson,2189204.981,16181144
CW,2019,ATL03_20190712181153_02240405_006_02.h5,GRE_2000_CW.geojson,1963986.65,20486222
CW,2019,ATL03_20190716051841_02770403_006_02.h5,GRE_2000_CW.geojson,2573679.201,15955927
CW,2019,ATL03_20190716180335_02850405_006_02.h5,GRE_2000_CW.geojson,2266704.708,39758096
CW,2019,ATL03_20190720051023_03380403_006_02.h5,GRE_2000_CW.geojson,2602499.053,8220577
CW,2019,ATL03_20190720175517_03460405_006_02.h5,GRE_2000_CW.geojson,2523769.283,14738259
CW,2019,ATL03_20190724050206_03990403_006_02.h5,GRE_2000_CW.geojson,2505441.339,4948133
CW,2019,ATL03_20190724174700_04070405_006_02.h5,GRE_2000_CW.geojson,807614.078,5125291
CW,2019,ATL03_20190725172121_04220405_006_02.h5,GRE_2000_CW.geojson,379283.23,3498052
CW,2019,ATL03_20190728173843_04680405_006_02.h5,GRE_2000_CW.geojson,271537.385,11135372
CW,2019,ATL03_20190729171304_04830405_006_02.h5,GRE_2000_CW.geojson,895155.899,9143331
CW,2019,ATL03_20190802041952_05360403_006_02.h5,GRE_2000_CW.geojson,809217.162,5334647
CW,2019,ATL03_20190802170446_05440405_006_02.h5,GRE_2000_CW.geojson,1221536.992,14106139
CW,2019,ATL03_20190806041133_05970403_006_02.h5,GRE_2000_CW.geojson,1452463.192,6988588
CW,2019,ATL03_20190806165626_06050405_006_02.h5,GRE_2000_CW.geojson,1617035.969,12572023
CW,2019,ATL03_20190810040312_06580403_006_02.h5,GRE_2000_CW.geojson,2009989.306,13221667
CW,2019,ATL03_20190810164806_06660405_006_02.h5,GRE_2000_CW.geojson,1896071.135,23228424
CW,2019,ATL03_20190814035453_07190403_006_02.h5,GRE_2000_CW.geojson,2560920.276,13987083
CW,2019,ATL03_20190814163946_07270405_006_02.h5,GRE_2000_CW.geojson,2176454.195,55211150
CW,2019,ATL03_20190818034635_07800403_006_02.h5,GRE_2000_CW.geojson,2601181.327,12632889
CW,2019,ATL03_20190818163128_07880405_006_02.h5,GRE_2000_CW.geojson,2494561.662,44703675
CW,2019,ATL03_20190822162310_08490405_006_02.h5,GRE_2000_CW.geojson,881679.36,38548964
CW,2019,ATL03_20190826032957_09020403_006_02.h5,GRE_2000_CW.geojson,108669.422,483062
CW,2019,ATL03_20190826161450_09100405_006_02.h5,GRE_2000_CW.geojson,564006.309,23724271
CW,2019,ATL03_20190827154911_09250405_006_02.h5,GRE_2000_CW.geojson,792285.656,9017673
CW,2019,ATL03_20190831025558_09780403_006_02.h5,GRE_2000_CW.geojson,284715.515,1102059
CW,2019,ATL03_20190831154051_09860405_006_02.h5,GRE_2000_CW.geojson,1136019.962,10166595
CW,2019,ATL03_20190904024737_10390403_006_02.h5,GRE_2000_CW.geojson,1151822.204,3919037
CW,2019,ATL03_20190904153231_10470405_006_02.h5,GRE_2000_CW.geojson,1488537.941,10886391
CW,2019,ATL03_20190908152412_11080405_006_02.h5,GRE_2000_CW.geojson,1799112.067,18305528
CW,2019,ATL03_20190912023059_11610403_006_02.h5,GRE_2000_CW.geojson,2521586.136,9256546
CW,2019,ATL03_20190912151552_11690405_006_02.h5,GRE_2000_CW.geojson,2053442.781,36218079
CW,2019,ATL03_20190916022239_12220403_006_02.h5,GRE_2000_CW.geojson,2590174.892,7789019
CW,2019,ATL03_20190916150733_12300405_006_02.h5,GRE_2000_CW.geojson,2442493.013,44889462
CW,2019,ATL03_20190920021420_12830403_006_02.h5,GRE_2000_CW.geojson,2547513.446,15562377
CW,2019,ATL03_20190920145914_12910405_006_02.h5,GRE_2000_CW.geojson,1079190.349,25178647
CW,2019,ATL03_20190924145056_13520405_006_02.h5,GRE_2000_CW.geojson,655172.338,21975401
CW,2019,ATL03_20190925142517_13670405_006_02.h5,GRE_2000_CW.geojson,658068.417,7821038
CW,2019,ATL03_20190928144236_00260505_006_02.h5,GRE_2000_CW.geojson,78571.976,3179419
CW,2019,ATL03_20190929141656_00410505_006_02.h5,GRE_2000_CW.geojson,1036053.739,8413021
CW,2020,ATL03_20200501040411_05440705_006_01.h5,GRE_2000_CW.geojson,1221472.434,6533966
CW,2020,ATL03_20200504151059_05970703_006_01.h5,GRE_2000_CW.geojson,1452429.256,13427570
CW,2020,ATL03_20200505035553_06050705_006_01.h5,GRE_2000_CW.geojson,542749.545,1261452
